Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,SYN Flag Count,URG Flag Count,Avg Packet Size,Subflow Fwd Bytes,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
60995575,13,15,339.0,3219.0,207.0,26.076923,64.47928,1460.0,214.6,507.3757,58.3321003204,0.4590496934,2259095.2,4218159.0,10009786.0,0.0,60995575.0,5082964.5,5198306.0,10077896.0,172.0,60927076.0,4351934.0,5144830.5,10078007.0,0.0,0,272,304,0.21313022,0.24591948,1460.0,122.68965,374.0235,139893.58,0,0,127.07143,339,3219,8192,48180,8,20,110874.0,104695.62,324583.0,68090.0,10002480.0,17770.951,10009786.0,9966205.0
115143085,16,14,456.0,971.0,445.0,28.5,111.06755,971.0,69.35714,259.51068,12.39327572,0.26054539,3970451.2,4873814.5,10000000.0,11.0,115000000.0,7676205.5,4172062.2,10000000.0,23739.0,110000000.0,8492900.0,3755864.8,10000000.0,11502.0,0,332,424,0.13895755,0.12158785,971.0,46.032257,189.31358,35839.633,0,0,47.566666,456,971,8192,119,12,20,36703.363,38499.938,152785.0,25043.0,10000000.0,18216.127,10000000.0,9945443.0
115316686,19,15,939.0,938.0,565.0,49.42105,136.72533,773.0,62.533333,201.08594,16.276915901,0.2948402454,3494445.0,4749673.5,10009851.0,36.0,115316686.0,6406482.5,4793234.5,10031009.0,36.0,110409892.0,7886421.0,4261279.5,10032007.0,21738.0,0,392,444,0.16476366,0.13007657,773.0,53.62857,163.32826,26676.123,0,0,55.205883,939,938,8192,510,15,20,32775.816,37981.27,147290.0,21145.0,10004481.0,17151.6,10009851.0,9952775.0
215347,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5746725053,71782.336,124127.14,215112.0,72.0,215347.0,107673.5,152042.81,215184.0,163.0,0.0,0.0,0.0,0.0,0.0,0,72,32,13.931005,4.643668,0.0,0.0,0.0,0.0,0,0,0.0,0,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1114999,3,4,20.0,964.0,20.0,6.6666665,11.547006,964.0,241.0,482.0,882.5120023,6.278032536,185833.17,455025.97,1114651.0,2.0,320.0,160.0,223.44574,318.0,2.0,1114995.0,371665.0,643444.75,1114651.0,24.0,0,72,92,2.6905854,3.5874472,964.0,123.0,339.8874,115523.43,0,0,140.57143,20,964,8192,211,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010845,6,11,568.0,9553.0,517.0,94.666664,207.9035,1460.0,868.4545,701.94293,10012.4153554699,16.8176129872,63177.812,225386.14,907168.0,0.0,1010845.0,202169.0,394403.16,907168.0,279.0,73024.0,7302.4,12837.276,31158.0,0.0,0,132,232,5.935628,10.881985,1460.0,562.2778,677.4807,458980.1,0,0,595.35297,568,9553,8192,1129,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653509,3,4,20.0,964.0,20.0,6.6666665,11.547006,964.0,241.0,482.0,595.0980612,4.233421167,275584.84,674854.6,1653126.0,1.0,358.0,179.0,251.73001,357.0,1.0,1653496.0,551165.3,954325.94,1653126.0,18.0,0,72,92,1.8143233,2.419098,964.0,123.0,339.8874,115523.43,0,0,140.57143,20,964,8192,211,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133532,2,2,66.0,210.0,33.0,33.0,0.0,105.0,105.0,0.0,2066.920289,29.9553665,44510.668,77050.57,133481.0,3.0,48.0,48.0,0.0,48.0,48.0,3.0,3.0,0.0,3.0,3.0,0,64,64,14.977683,14.977683,105.0,61.8,39.436024,1555.2,0,0,77.25,66,210,0,0,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920,3,4,161.0,488.0,161.0,53.666668,92.95339,488.0,122.0,244.0,705434.782608696,7608.69565217391,153.33333,96.4918,285.0,27.0,490.0,245.0,142.83557,346.0,144.0,635.0,211.66667,189.14897,405.0,27.0,0,72,92,3260.8696,4347.826,488.0,81.125,173.78758,30202.125,0,0,92.71429,161,488,8192,149,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410112,2,0,44.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,107.2877652934,4.8767166042,410112.0,0.0,410112.0,410112.0,410112.0,410112.0,0.0,410112.0,410112.0,0.0,0.0,0.0,0.0,0.0,0,16,0,4.8767166,0.0,22.0,22.0,0.0,0.0,0,0,33.0,44,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105661936,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55838462,1821757.5,2621395.5,18700000.0,578054.0,106000000.0,1821757.5,2621395.5,18700000.0,578054.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5583846,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,36800000.0,36600000.0,62700000.0,10900000.0,13700000.0,7137188.0,18700000.0,8640820.0
